rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
123,Denis Huseinbasic,ba BIH,MF,Köln,24-067,2001,0.6,0,1,0,0.0,1.55,0.00,0.00,,12.5,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
124,Oscar Højlund,dk DEN,MF,Eint Frankfurt,20-247,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
125,Arijon Ibrahimović,de GER,"FW,MF",Heidenheim,19-271,2005,1.4,0,1,0,0.0,0.71,0.00,0.00,,4.1,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches
126,Andrej Ilic,rs SRB,FW,Union Berlin,25-158,2000,2.0,0,7,1,14.3,3.50,0.50,0.00,0.00,10.6,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
127,Cyriaque Irié,bf BFA,FW,Freiburg,20-080,2005,0.3,0,1,0,0.0,2.90,0.00,0.00,,26.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
128,Lee Jae-sung,kr KOR,"FW,MF",Mainz 05,33-029,1992,2.0,0,6,0,0.0,3.00,0.00,0.00,,8.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
129,Kristijan Jakić,hr CRO,"MF,FW",Augsburg,28-117,1997,2.0,1,3,2,66.7,1.50,1.00,0.33,0.50,18.9,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
130,Luca Jaquez,ch SUI,DF,Stuttgart,22-098,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Finn Jeltsch,de GER,DF,Stuttgart,19-053,2006,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
132,Castrop Jens,kr KOR,MF,Gladbach,22-041,2003,0.3,0,1,0,0.0,3.75,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
