rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
111,Isak Hansen-Aarøen,no NOR,FW,Werder Bremen,21-017,2004,0.0,7,0,2,3,2,1,7,1,0,0.0,1,100.0,5,33,14,1,0,0,0,0,5,1,Matches
112,Ramon Hendriks,nl NED,DF,Stuttgart,24-052,2001,1.1,88,15,45,41,3,2,88,0,0,,0,,70,315,159,1,1,0,1,1,67,0,Matches
113,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,32-299,1992,2.0,107,74,106,1,0,0,107,0,0,,0,,74,336,159,0,0,0,0,0,64,0,Matches
114,Piero Hincapié,ec ECU,DF,Leverkusen,23-242,2002,1.0,100,0,18,74,9,2,100,0,0,,0,,77,349,209,2,1,0,0,0,78,1,Matches
115,Nicolas Höfler,de GER,MF,Freiburg,35-183,1990,0.2,29,2,3,20,6,1,29,1,1,100.0,0,0.0,16,54,21,0,0,0,0,0,20,1,Matches
116,Lucas Höler,de GER,FW,Freiburg,31-060,1994,1.9,70,3,8,36,27,10,70,2,2,100.0,0,0.0,35,129,30,0,0,0,6,1,51,11,Matches
117,Benedict Hollerbach,de GER,FW,Mainz 05,24-114,2001,0.2,4,0,0,0,4,0,4,0,0,,0,,2,3,1,0,0,0,1,0,2,1,Matches
118,Franck Honorat,fr FRA,"FW,MF",Gladbach,29-028,1996,2.0,106,2,12,28,67,9,106,3,1,33.3,2,66.7,47,271,142,9,2,4,1,2,71,26,Matches
119,Mathias Honsak,at AUT,FW,Heidenheim,28-262,1996,1.1,33,0,6,15,12,4,33,1,0,0.0,1,100.0,15,59,17,0,0,0,2,0,15,2,Matches
120,Andreas Hountondji,bj BEN,FW,St. Pauli,23-059,2002,1.5,39,0,4,13,23,10,39,3,2,66.7,1,33.3,21,169,80,5,2,2,7,1,28,9,Matches
121,Robin Hranáč,cz CZE,DF,Hoffenheim,25-222,2000,1.6,89,21,42,44,3,2,89,0,0,,0,,30,124,46,0,0,0,1,0,53,0,Matches
122,Timo Hübers,de GER,DF,Köln,29-050,1996,1.5,95,21,44,50,1,1,95,0,0,,0,,41,164,99,1,0,0,2,0,52,0,Matches
123,Denis Huseinbasic,ba BIH,MF,Köln,24-067,2001,0.6,26,0,3,19,4,1,26,0,0,,0,,17,92,53,1,1,0,0,0,17,0,Matches
124,Oscar Højlund,dk DEN,MF,Eint Frankfurt,20-247,2005,0.2,15,1,7,3,5,0,15,1,0,0.0,1,100.0,3,5,0,0,0,0,0,2,8,1,Matches
