rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
122,Timo Hübers,de GER,DF,Köln,29-050,1996,1.5,1,1,0,1,0,1,1,100.0,0,2,2,0,1,2,25,0,Matches
123,Denis Huseinbasic,ba BIH,MF,Köln,24-067,2001,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
124,Oscar Højlund,dk DEN,MF,Eint Frankfurt,20-247,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
125,Arijon Ibrahimović,de GER,"FW,MF",Heidenheim,19-271,2005,1.4,3,1,2,1,0,3,6,50.0,3,3,0,3,0,3,5,0,Matches
126,Andrej Ilic,rs SRB,FW,Union Berlin,25-158,2000,2.0,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,2,0,Matches
127,Cyriaque Irié,bf BFA,FW,Freiburg,20-080,2005,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
128,Lee Jae-sung,kr KOR,"FW,MF",Mainz 05,33-029,1992,2.0,4,3,1,1,2,2,2,100.0,0,0,0,0,0,4,5,0,Matches
129,Kristijan Jakić,hr CRO,"MF,FW",Augsburg,28-117,1997,2.0,3,2,1,2,0,1,2,50.0,1,4,3,1,3,6,7,0,Matches
130,Luca Jaquez,ch SUI,DF,Stuttgart,22-098,2003,1.0,2,2,2,0,0,1,2,50.0,1,1,0,1,0,2,5,0,Matches
131,Finn Jeltsch,de GER,DF,Stuttgart,19-053,2006,1.0,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,4,0,Matches
132,Castrop Jens,kr KOR,MF,Gladbach,22-041,2003,0.3,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
133,Moritz Jenz,de GER,DF,Wolfsburg,26-131,1999,2.0,3,3,3,0,0,1,1,100.0,0,0,0,0,0,3,16,1,Matches
134,Ísak Jóhannesson,is ISL,MF,Köln,22-169,2003,1.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Matches
135,Lazar Jovanović,rs SRB,"FW,MF",Stuttgart,18-282,2006,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
136,Anthony Jung,de GER,DF,Freiburg,33-309,1991,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
137,Josip Juranović,hr CRO,DF,Union Berlin,30-023,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
138,Martijn Kaars,nl NED,"MF,FW",St. Pauli,26-187,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
139,Anton Kade,de GER,DF,Augsburg,21-234,2004,0.3,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
140,Florian Kainz,at AUT,MF,Köln,32-319,1992,0.1,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,Matches
141,Jakub Kamiński,pl POL,"MF,FW",Köln,23-095,2002,2.0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,6,0,Matches
142,Harry Kane,eng ENG,FW,Bayern Munich,32-042,1993,1.9,0,0,0,0,0,0,0,,0,2,0,2,2,2,4,0,Matches
143,Atakan Karazor,,MF,Stuttgart,28-330,1996,1.6,3,2,1,1,1,2,3,66.7,1,2,0,2,0,3,7,0,Matches
144,Lennart Karl,de GER,FW,Bayern Munich,17-198,2008,0.2,2,2,1,0,1,2,2,100.0,0,1,0,1,0,2,0,0,Matches
145,Mikkel Kaufmann,dk DEN,FW,Heidenheim,24-248,2001,0.8,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,1,0,Matches
146,Aljoscha Kemlein,de GER,MF,Union Berlin,21-037,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
147,Luca Kerber,de GER,MF,Heidenheim,23-182,2002,1.1,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,Matches
148,Rani Khedira,de GER,MF,Union Berlin,31-224,1994,2.0,5,3,0,5,0,0,1,0.0,1,2,0,2,4,9,7,0,Matches
149,Joshua Kimmich,de GER,MF,Bayern Munich,30-212,1995,2.0,3,2,1,2,0,1,3,33.3,2,1,0,1,3,6,1,0,Matches
150,Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,23-241,2002,0.6,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
151,Gregor Kobel,ch SUI,GK,Dortmund,27-276,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
152,Robin Koch,de GER,DF,Eint Frankfurt,29-053,1996,2.0,1,0,0,1,0,1,1,100.0,0,1,1,0,3,4,18,0,Matches
153,Christian Kofane,cm CMR,"FW,MF",Leverkusen,19-044,2006,0.9,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
154,Derrick Köhn,gh GHA,DF,Union Berlin,26-216,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
155,Dominik Kohr,de GER,DF,Mainz 05,31-220,1994,2.0,4,4,1,2,1,1,2,50.0,1,1,0,1,1,5,5,0,Matches
156,Mert Kömür,de GER,"FW,MF",Augsburg,20-053,2005,2.0,1,0,0,1,0,1,2,50.0,1,2,0,2,0,1,5,0,Matches
157,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,23-360,2001,1.7,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
158,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,21-284,2003,2.0,2,1,2,0,0,0,0,,0,2,2,0,2,4,12,0,Matches
159,Alex Král,cz CZE,MF,Union Berlin,27-112,1998,1.0,2,1,0,2,0,1,1,100.0,0,1,0,1,1,3,2,0,Matches
160,Andrej Kramarić,hr CRO,MF,Hoffenheim,34-081,1991,1.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
161,Tom Krauß,de GER,"DF,MF",Köln,24-078,2001,1.1,4,3,2,2,0,0,1,0.0,1,1,0,1,0,4,8,0,Matches
