player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Joshua Kimmich,Bayern Munich,MF,180,2.0,2.5,8.0,0.5,0.0,1.5,1.0,1.5
Ansgar Knauff,Eint Frankfurt,"MF,FW",52,0.6,0.0,1.6666666666666667,6.666666666666667,0.8333333333333334,0.0,1.6666666666666667,5.0
Gregor Kobel,Dortmund,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Koch,Eint Frankfurt,DF,180,2.0,0.0,3.5,0.5,0.0,1.5,0.0,0.0
Christian Kofane,Leverkusen,"FW,MF",78,0.9,1.1111111111111112,0.0,2.2222222222222223,0.4444444444444445,0.0,0.0,1.1111111111111112
Derrick Köhn,Union Berlin,DF,45,0.5,0.0,4.0,0.0,0.0,0.0,0.0,2.0
Dominik Kohr,Mainz 05,DF,179,2.0,1.5,6.0,1.5,0.1,0.5,2.0,1.5
Mert Kömür,Augsburg,"FW,MF",180,2.0,1.5,2.0,3.0,0.25,0.0,0.0,2.5
Ransford Königsdörffer,Hamburger SV,FW,154,1.7,0.0,0.5882352941176471,1.7647058823529411,0.17647058823529413,0.0,0.0,1.1764705882352942
Konstantinos Koulierakis,Wolfsburg,DF,180,2.0,0.0,4.0,1.5,0.1,1.0,0.5,1.0
Alex Král,Union Berlin,MF,87,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0
Andrej Kramarić,Hoffenheim,MF,148,1.6,0.625,3.75,1.25,0.0625,0.625,0.0,1.875
Tom Krauß,Köln,"DF,MF",99,1.1,0.0,3.6363636363636362,1.8181818181818181,0.09090909090909091,0.0,2.727272727272727,0.9090909090909091
Rasmus Kristensen,Eint Frankfurt,DF,171,1.9,1.5789473684210527,3.68421052631579,1.5789473684210527,0.052631578947368425,2.1052631578947367,3.1578947368421053,1.5789473684210527
Lukas Kübler,Freiburg,DF,174,1.9,0.0,5.2631578947368425,0.5263157894736842,0.0,3.1578947368421053,2.1052631578947367,0.5263157894736842
Jonah Kusi-Asare,Bayern Munich,FW,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konrad Laimer,Bayern Munich,DF,138,1.5,1.3333333333333333,4.0,2.0,0.4666666666666666,0.6666666666666666,0.0,3.3333333333333335
Hugo Larsson,Eint Frankfurt,MF,172,1.9,1.0526315789473684,3.1578947368421053,0.0,0.0,2.1052631578947367,1.0526315789473684,0.0
Tim Lemperle,Hoffenheim,FW,164,1.8,1.6666666666666665,2.7777777777777777,2.2222222222222223,0.11111111111111112,0.5555555555555556,1.1111111111111112,0.0
Jamie Leweling,Stuttgart,"FW,DF",180,2.0,2.5,1.5,3.0,0.15,1.0,0.0,7.5
Philipp Lienhart,Freiburg,DF,180,2.0,0.0,5.0,0.5,0.05,0.0,1.0,2.0
Castello Lukeba,RB Leipzig,DF,180,2.0,0.0,6.0,0.5,0.1,1.5,0.5,1.5
Kristoffer Lund,Köln,DF,134,1.5,0.6666666666666666,1.3333333333333333,2.0,0.06666666666666667,0.6666666666666666,1.3333333333333333,2.0
Senne Lynen,Werder Bremen,MF,180,2.0,0.5,3.0,0.5,0.1,2.0,1.5,0.0
Koki Machida,Hoffenheim,DF,44,0.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0
Shuto Machino,Gladbach,FW,82,0.9,0.0,0.0,1.1111111111111112,0.11111111111111112,0.0,0.0,2.2222222222222223
Arne Maier,Augsburg,DF,4,0.0,,,,,,,
Patrick Mainka,Heidenheim,DF,180,2.0,0.0,3.5,0.0,0.0,0.0,0.0,0.5
Lovro Majer,Wolfsburg,MF,132,1.5,4.0,4.0,1.3333333333333333,0.06666666666666667,0.6666666666666666,0.6666666666666666,3.3333333333333335
Jordy Makengo,Freiburg,DF,10,0.1,10.0,20.0,0.0,0.0,0.0,10.0,0.0
Said El Mala,Köln,"DF,FW",46,0.5,2.0,0.0,4.0,0.2,0.0,0.0,0.0
Julián Malatini,Werder Bremen,DF,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lennard Maloney,Mainz 05,MF,26,0.3,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0
Filippo Mane,Dortmund,DF,84,0.9,0.0,4.444444444444445,0.0,0.0,1.1111111111111112,0.0,0.0
Johan Manzambi,Freiburg,MF,170,1.9,1.5789473684210527,6.842105263157895,1.0526315789473684,0.052631578947368425,1.0526315789473684,0.0,5.2631578947368425
Eric Martel,Köln,MF,180,2.0,0.5,2.5,0.0,0.0,2.0,1.0,0.5
Han-Noah Massengo,Augsburg,MF,179,2.0,0.0,2.5,1.0,0.05,1.5,1.5,1.0
Chrislain Matsima,Augsburg,DF,180,2.0,0.0,2.0,0.5,0.1,1.5,0.5,0.5
Jean Mattéo Bahoya,Eint Frankfurt,FW,128,1.4,2.142857142857143,2.142857142857143,3.5714285714285716,0.7857142857142858,0.0,0.7142857142857143,2.857142857142857
Keke Maximilian Topp,Werder Bremen,FW,33,0.4,2.5,0.0,2.5,0.25,0.0,0.0,5.0
Ibrahim Maza,Leverkusen,"MF,FW",87,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
Samuel Mbangula,Werder Bremen,FW,134,1.5,0.6666666666666666,2.0,1.3333333333333333,0.13333333333333333,0.0,2.0,2.6666666666666665
Jonas Meffert,Hamburger SV,MF,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Metcalfe,St. Pauli,MF,23,0.3,0.0,10.0,0.0,0.0,3.3333333333333335,3.3333333333333335,6.666666666666667
William Mikelbrencis,Hamburger SV,"DF,MF",14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kim Min-jae,Bayern Munich,DF,23,0.3,3.3333333333333335,0.0,0.0,0.0,3.3333333333333335,0.0,3.3333333333333335
Maximilian Mittelstädt,Stuttgart,DF,163,1.8,3.333333333333333,12.777777777777777,1.1111111111111112,0.05555555555555556,1.6666666666666665,1.6666666666666665,1.6666666666666665
Max Moerstedt,Hoffenheim,FW,19,0.2,0.0,0.0,5.0,0.0,0.0,5.0,0.0
Miro Muheim,Hamburger SV,MF,180,2.0,2.0,5.0,1.0,0.1,1.0,1.5,4.0
Phillipp Mwene,Mainz 05,"DF,MF",158,1.8,2.7777777777777777,2.2222222222222223,0.0,0.0,0.0,0.0,1.1111111111111112
Joakim Mæhle,Wolfsburg,DF,1,0.0,,,,,,,
Nikolas Nartey,Stuttgart,DF,17,0.2,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Paul Nebel,Mainz 05,MF,59,0.7,1.4285714285714286,1.4285714285714286,2.857142857142857,0.28571428571428575,0.0,0.0,0.0
Kosta Nedeljković,RB Leipzig,DF,1,0.0,,,,,,,
Luca Netz,Gladbach,DF,20,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Manuel Neuer,Bayern Munich,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Neuhaus,Gladbach,MF,32,0.4,2.5,12.5,7.5,0.25,0.0,0.0,5.0
Moritz Nicolas,Gladbach,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
